State,race,tot_pop,tot_cit,tot_reg,pct_reg_tot,me_pct_reg_tot,pct_reg_cit,me_pct_reg_cit,tot_vote,pct_vote_tot,me_pct_vote_tot,pct_vote_cit,me_pct_vote_cit,year
US,Total,249748,228832,153066,61.3,0.3,66.9,0.3,122281,49,0.3,53.4,0.3,2018
US,Male,120573,110006,71726,59.5,0.4,65.2,0.4,56964,47.2,0.4,51.8,0.5,2018
US,Female,129176,118826,81340,63,0.4,68.5,0.4,65317,50.6,0.4,55,0.4,2018
US,White alone,194127,180522,123727,63.7,0.3,68.5,0.3,99255,51.1,0.3,55,0.4,2018
US,White non-Hispanic alone,157610,154982,110054,69.8,0.4,71,0.4,89075,56.5,0.4,57.5,0.4,2018
US,Black alone,31623,29758,19023,60.2,1,63.9,1,15194,48,1,51.1,1.1,2018
US,Asian alone,15659,11128,5898,37.7,1.5,53,1.8,4519,28.9,1.4,40.6,1.8,2018
US,Hispanic (of any race),41049,28955,15558,37.9,1.2,53.7,1.4,11695,28.5,1.1,40.4,1.4,2018
US,White alone or in combination,198477,184394,126194,63.6,0.3,68.4,0.3,101115,50.9,0.3,54.8,0.4,2018
US,Black alone or in combination,33595,31422,20015,59.6,1,63.7,1,15887,47.3,1,50.6,1.1,2018
US,Asian alone or in combination,16733,12170,6595,39.4,1.5,54.2,1.8,5080,30.4,1.4,41.7,1.7,2018
ALABAMA,Total,3753,3609,2490,66.4,2.5,69,2.5,1830,48.8,2.7,50.7,2.7,2018
ALABAMA,Male,1772,1681,1122,63.3,3.7,66.7,3.8,821,46.3,3.9,48.8,4,2018
ALABAMA,Female,1982,1927,1368,69,3.4,71,3.4,1010,50.9,3.7,52.4,3.7,2018
ALABAMA,White alone,2610,2534,1774,68,3,70,3,1309,50.1,3.2,51.6,3.2,2018
ALABAMA,White non-Hispanic alone,2494,2470,1760,70.6,3,71.3,3,1298,52.1,3.3,52.6,3.3,2018
ALABAMA,Black alone,976,975,657,67.2,5.9,67.4,5.9,483,49.4,6.3,49.5,6.3,2018
ALABAMA,Asian alone,61,37,13,,,,,7,,,,,2018
ALABAMA,Hispanic (of any race),169,77,26,15.6,14.3,34.3,27.8,22,13.2,13.4,29.1,26.6,2018
ALABAMA,White alone or in combination,2636,2561,1796,68.1,3,70.1,3,1322,50.2,3.2,51.6,3.2,2018
